customer_id,customer_state,highest_education,employment_status,gender,income,residence_type,marital_status,sales_channel,coverage,policy,vehicle_class,vehicle_size,monthly_premium,months_since_last_claim,total_claim_amount,customer_lifetime_value
AH17051,California,Bachelor,Employed,Male,29695.0,Suburban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,94.0,34.0,1554.1399999999999,14700.5
AH22694,California,Doctoral,Employed,Male,24317.0,Suburban,Married,Call Center,Basic,Corporate,Four-Door Car,Midsize,73.0,2.0,1350.4,5850.45
AH39293,California,Associate,Employed,Male,72302.0,Suburban,Divorced,Agent,Basic,Personal,Two-Door Car,Midsize,66.0,6.0,1316.8,2616.61
AH41065,Washington,High School,Employed,Male,58851.0,Suburban,Married,Web,Extended,Personal,Four-Door Car,Midsize,79.0,11.0,1494.19,18943.27
AH41449,Nevada,Associate,Employed,Male,24666.0,Rural,Married,Branch,Basic,Personal,Sports Car,Midsize,101.0,32.0,1151.84,7907.13
AH53588,California,Associate,Retired,Male,26802.0,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,66.0,7.0,1316.8,4636.55
AH55475,Arizona,Associate,Employed,Male,44246.0,Suburban,Married,Web,Extended,Personal,SUV,Small,122.0,1.0,1585.6,33053.27
AH58807,Arizona,Associate,Employed,Female,84650.0,Urban,Married,Agent,Basic,Personal,Luxury Car,Midsize,185.0,13.0,1660.47,51426.25
AH65907,California,Bachelor,Employed,Female,51790.0,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Large,71.0,12.0,1340.8,2859.41
AH84063,Oregon,Associate,Employed,Female,89642.0,Rural,Married,Call Center,Extended,Corporate,SUV,Midsize,121.0,11.0,1086.32,4719.45
AH89786,Oregon,High School,Retired,Male,16997.0,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Midsize,65.0,35.0,1468.0,2174.11
AH92481,California,Associate,Employed,Female,53219.0,Suburban,Married,Call Center,Basic,Corporate,SUV,Midsize,117.0,24.0,1561.6,4673.2
AH97088,Nevada,High School,Employed,Male,84417.0,Rural,Divorced,Agent,Extended,Personal,Two-Door Car,Midsize,98.0,5.0,1139.71,7803.5
AH99727,Arizona,Bachelor,Disabled,Female,11612.0,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,71.0,20.0,1340.8,5623.31
AI11191,Arizona,High School,Employed,Female,77853.0,Rural,Single,Branch,Basic,Personal,SUV,Midsize,106.0,12.0,1165.24,4228.25
AI14767,California,High School,Employed,Female,37455.0,Suburban,Married,Call Center,Basic,Personal,SUV,Small,114.0,13.0,1547.2,40688.53
AI47152,Nevada,Associate,Employed,Female,35434.0,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,66.0,19.0,1297.05,7992.78
AI49188,Nevada,Bachelor,Employed,Female,48767.0,Suburban,Married,Agent,Premium,Personal,Two-Door Car,Midsize,108.0,18.0,1566.47,12887.43
AI58313,Nevada,Associate,Employed,Female,75425.0,Suburban,Divorced,Call Center,Basic,Personal,Sports Car,Midsize,116.0,25.0,1663.6399999999999,36946.06
AI58500,Arizona,Associate,Employed,Female,26554.0,Suburban,Married,Web,Basic,Personal,Two-Door Car,Small,68.0,18.0,1391.69,2689.17
AI61368,Nevada,High School,Medical Leave,Female,22510.0,Suburban,Single,Web,Extended,Personal,Four-Door Car,Small,95.0,19.0,1456.0,17651.96
AI74959,California,High School,Employed,Male,25927.0,Suburban,Single,Web,Basic,Personal,SUV,Midsize,103.0,6.0,1674.97,3933.81
AI85843,Arizona,Master,Employed,Female,33288.0,Urban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,86.0,1.0,1221.8600000000001,6756.65
AJ32539,Oregon,Bachelor,Employed,Male,25860.0,Suburban,Married,Web,Basic,Personal,Four-Door Car,Midsize,72.0,12.0,1345.6,2829.31
AJ69778,Oregon,High School,Employed,Female,77135.0,Rural,Divorced,Web,Extended,Personal,Four-Door Car,Midsize,84.0,3.0,1098.37,6514.43
AJ89107,Arizona,High School,Employed,Male,27072.0,Suburban,Married,Branch,Extended,Personal,Four-Door Car,Large,93.0,24.0,1565.3400000000001,7349.33
AJ89108,California,Bachelor,Employed,Female,51643.0,Suburban,Single,Agent,Premium,Personal,Luxury Car,Midsize,283.0,16.0,2358.4,11009.13
AK11669,Arizona,Doctoral,Employed,Female,59232.0,Suburban,Divorced,Branch,Extended,Corporate,Two-Door Car,Midsize,85.0,6.0,1408.0,10130.93
AK46006,Oregon,Bachelor,Medical Leave,Male,18047.0,Suburban,Married,Call Center,Extended,Personal,Luxury SUV,Midsize,242.0,5.0,2350.38,36293.15
AK54675,California,Bachelor,Employed,Female,84863.0,Suburban,Divorced,Call Center,Extended,Corporate,SUV,Large,138.0,28.0,1691.7,5535.96
AK59340,California,High School,Employed,Male,42360.0,Rural,Single,Branch,Basic,Corporate,Four-Door Car,Midsize,71.0,29.0,1099.51,5601.14
AK72422,California,Associate,Disabled,Male,21070.0,Suburban,Divorced,Call Center,Premium,Corporate,Sports Car,Small,195.0,6.0,2404.0,29049.71
AL21967,Oregon,Master,Employed,Male,74243.0,Rural,Married,Call Center,Extended,Corporate,Four-Door Car,Midsize,84.0,34.0,1071.31,10171.48
AL27471,Oregon,Doctoral,Employed,Male,30821.0,Urban,Married,Web,Extended,Personal,Four-Door Car,Midsize,97.0,27.0,1451.32,3911.12
AL43475,California,Associate,Employed,Female,44938.0,Suburban,Married,Branch,Basic,Personal,Luxury Car,Large,183.0,7.0,3069.31,7373.23
AL43715,Nevada,Master,Employed,Male,67541.0,Rural,Married,Agent,Premium,Personal,Four-Door Car,Midsize,104.0,10.0,1203.8899999999999,8310.7
AL46984,California,High School,Employed,Male,43259.0,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,73.0,12.0,1350.4,8730.42
AM17304,Arizona,Master,Employed,Female,45356.0,Suburban,Single,Call Center,Extended,Personal,Four-Door Car,Midsize,90.0,31.0,1462.04,7218.38
AM26598,Arizona,Associate,Employed,Female,89672.0,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,72.0,7.0,1309.57,2913.49
AM29546,Oregon,Associate,Employed,Male,57733.0,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Midsize,66.0,24.0,1393.53,5225.03
AM30008,California,High School,Employed,Male,28327.0,Suburban,Single,Web,Basic,Personal,Luxury Car,Midsize,185.0,29.0,1888.0,14131.12
AM34581,Oregon,Bachelor,Employed,Female,24432.0,Rural,Married,Branch,Extended,Corporate,Two-Door Car,Midsize,87.0,19.0,1071.11,6680.15
AM36670,California,Associate,Employed,Female,54827.0,Rural,Single,Branch,Basic,Personal,Four-Door Car,Large,64.0,17.0,1132.95,4997.78
AM52614,Oregon,Bachelor,Employed,Female,41402.0,Suburban,Divorced,Branch,Basic,Personal,Sports Car,Midsize,119.0,26.0,1571.2,4477.45
AM53473,Arizona,Bachelor,Employed,Female,60087.0,Suburban,Single,Agent,Basic,Special,Four-Door Car,Small,74.0,21.0,1355.2,5821.79
AM57175,Oregon,High School,Employed,Female,62473.0,Suburban,Divorced,Branch,Extended,Personal,Four-Door Car,Small,76.0,6.0,1507.56,15000.84
AM72411,Oregon,High School,Medical Leave,Male,23253.0,Suburban,Divorced,Branch,Basic,Personal,Two-Door Car,Midsize,61.0,20.0,1292.8,2279.7
AM79057,Oregon,Bachelor,Employed,Female,69024.0,Urban,Married,Web,Basic,Personal,Four-Door Car,Midsize,61.0,27.0,1238.53,2287.92
AM88377,California,Bachelor,Retired,Female,10180.0,Suburban,Married,Branch,Basic,Corporate,Two-Door Car,Midsize,65.0,17.0,1455.65,5049.77
AM89558,Nevada,Associate,Retired,Male,26802.0,Suburban,Married,Agent,Basic,Corporate,Two-Door Car,Midsize,66.0,7.0,1316.8,4636.55
AM92343,Oregon,High School,Employed,Female,67616.0,Urban,Married,Agent,Extended,Personal,Four-Door Car,Midsize,96.0,25.0,1340.31,11599.5
AM97901,Nevada,Associate,Employed,Female,84831.0,Suburban,Single,Branch,Premium,Special,Sports Car,Midsize,192.0,13.0,2336.9300000000003,22986.15
AM99192,Arizona,Associate,Employed,Male,42743.0,Rural,Married,Call Center,Basic,Personal,SUV,Midsize,117.0,5.0,1101.29,9061.95
AN32867,California,Bachelor,Employed,Male,81285.0,Suburban,Single,Branch,Extended,Personal,Four-Door Car,Midsize,81.0,18.0,1441.77,3124.93
AN36757,Oregon,Master,Employed,Male,66851.0,Urban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,92.0,10.0,1408.55,22056.0
AN57220,Oregon,Bachelor,Employed,Female,96917.0,Rural,Married,Web,Basic,Special,Four-Door Car,Midsize,61.0,24.0,1071.94,17263.64
AN79079,Arizona,Doctoral,Employed,Male,40870.0,Suburban,Married,Agent,Basic,Personal,SUV,Large,105.0,3.0,1504.0,12731.95
AN80983,Oregon,Associate,Employed,Male,85721.0,Suburban,Married,Web,Basic,Corporate,Four-Door Car,Midsize,65.0,12.0,1312.0,5218.34
AO20938,Arizona,High School,Employed,Female,31433.0,Suburban,Married,Call Center,Basic,Personal,SUV,Small,100.0,5.0,1635.02,32021.4
AO40386,Oregon,Associate,Retired,Male,27504.0,Suburban,Divorced,Branch,Extended,Personal,Four-Door Car,Small,91.0,26.0,1436.8,22647.22
AO42003,Oregon,Associate,Employed,Female,55907.0,Suburban,Married,Agent,Basic,Corporate,SUV,Large,104.0,23.0,1499.2,16681.33
AO74776,California,High School,Employed,Female,27824.0,Suburban,Married,Agent,Basic,Personal,SUV,Large,118.0,32.0,1566.4,9427.68
AO77635,California,Associate,Employed,Female,28987.0,Rural,Married,Branch,Basic,Personal,SUV,Midsize,102.0,8.0,1245.69,4005.72
AO98601,Washington,Bachelor,Employed,Male,54500.0,Suburban,Married,Agent,Basic,Corporate,Two-Door Car,Small,63.0,28.0,1302.4,5018.89
AP27994,Oregon,High School,Disabled,Female,23124.0,Suburban,Married,Agent,Basic,Special,Sports Car,Midsize,112.0,27.0,1537.6,4372.49
AP47670,California,High School,Employed,Male,29465.0,Suburban,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,63.0,6.0,1302.4,2497.91
AP52126,Oregon,Associate,Employed,Female,68562.0,Rural,Married,Branch,Basic,Personal,SUV,Midsize,108.0,29.0,1228.5,13151.83
AP52565,Arizona,High School,Employed,Female,70328.0,Urban,Married,Branch,Extended,Corporate,Four-Door Car,Midsize,84.0,11.0,1293.23,6746.43
AP56340,Washington,Bachelor,Disabled,Male,13103.0,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,72.0,21.0,1458.0,5384.67
AP59947,California,Bachelor,Employed,Female,55843.0,Suburban,Married,Call Center,Basic,Corporate,Two-Door Car,Midsize,64.0,3.0,1307.2,7690.16
AP66226,Nevada,Bachelor,Medical Leave,Male,18505.0,Suburban,Married,Web,Basic,Personal,Four-Door Car,Midsize,66.0,15.0,1316.8,4479.49
AP67935,California,Associate,Employed,Male,64749.0,Urban,Married,Branch,Basic,Special,Four-Door Car,Midsize,64.0,24.0,1302.57,7619.52
AP89323,Nevada,Associate,Employed,Female,40516.0,Suburban,Divorced,Agent,Basic,Personal,Four-Door Car,Small,70.0,9.0,1336.0,2728.84
AP95078,Oregon,Bachelor,Employed,Male,37229.0,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,67.0,9.0,1321.6,7855.32
AQ25590,Washington,High School,Medical Leave,Female,20282.0,Suburban,Divorced,Agent,Extended,Personal,Two-Door Car,Midsize,79.0,19.0,1507.55,5445.37
AQ51159,Arizona,High School,Employed,Female,38676.0,Rural,Married,Branch,Basic,Personal,Four-Door Car,Midsize,72.0,24.0,1146.12,8586.8
AQ51368,Oregon,Bachelor,Employed,Female,72540.0,Suburban,Married,Call Center,Extended,Corporate,Two-Door Car,Midsize,88.0,7.0,1631.74,10656.88
AQ52711,Oregon,Bachelor,Employed,Female,65337.0,Suburban,Married,Agent,Premium,Personal,SUV,Large,173.0,9.0,1830.4,6897.51
AQ70619,California,High School,Employed,Male,71024.0,Urban,Married,Agent,Basic,Corporate,Four-Door Car,Midsize,65.0,26.0,1266.6399999999999,13046.65
AQ91207,California,High School,Employed,Male,38667.0,Urban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,63.0,9.0,1293.07,2487.65
AQ94108,Oregon,Associate,Employed,Female,56704.0,Rural,Married,Branch,Basic,Corporate,Four-Door Car,Midsize,71.0,33.0,1084.72,8507.83
AR17553,California,Master,Medical Leave,Male,22944.0,Suburban,Married,Branch,Extended,Corporate,Four-Door Car,Midsize,80.0,26.0,1488.27,6111.05
AR25213,Arizona,High School,Employed,Male,40858.0,Suburban,Married,Agent,Basic,Personal,Luxury SUV,Large,184.0,10.0,1883.2,7282.97
AR40217,Oregon,High School,Employed,Female,42754.0,Urban,Divorced,Agent,Basic,Personal,Two-Door Car,Midsize,65.0,5.0,1279.72,19079.1
AR47849,Nevada,Bachelor,Employed,Female,48567.0,Suburban,Single,Agent,Extended,Personal,SUV,Midsize,130.0,12.0,1624.0,5015.01
AR69517,California,Associate,Retired,Male,25251.0,Suburban,Divorced,Web,Basic,Corporate,Four-Door Car,Midsize,66.0,13.0,1316.8,11790.5
AR75105,California,Associate,Retired,Female,21073.0,Suburban,Divorced,Agent,Basic,Personal,SUV,Small,106.0,25.0,1508.8,7805.31
AR83514,Arizona,High School,Employed,Female,59522.0,Suburban,Married,Web,Extended,Corporate,Four-Door Car,Small,89.0,0.0,1427.2,7153.67
AR96516,Oregon,Bachelor,Employed,Female,50217.0,Suburban,Married,Web,Basic,Personal,Two-Door Car,Midsize,74.0,18.0,1355.2,5914.95
AS17174,Oregon,High School,Employed,Male,95697.0,Rural,Married,Agent,Basic,Personal,Two-Door Car,Midsize,61.0,16.0,1114.27,2471.53
AS18084,California,Associate,Medical Leave,Female,25370.0,Suburban,Married,Branch,Basic,Personal,Sports Car,Large,102.0,10.0,1489.6,11638.9
AS26192,Oregon,High School,Employed,Male,50406.0,Rural,Divorced,Call Center,Basic,Corporate,Four-Door Car,Midsize,70.0,20.0,1132.21,5519.08
AS48176,Oregon,Bachelor,Retired,Male,14973.0,Suburban,Divorced,Branch,Basic,Personal,SUV,Midsize,115.0,2.0,1828.0,12168.74
AS55478,Oregon,Bachelor,Employed,Male,26670.0,Suburban,Married,Call Center,Extended,Corporate,Four-Door Car,Small,98.0,23.0,1541.23,3874.87
AS60178,Nevada,Bachelor,Employed,Female,54655.0,Urban,Married,Agent,Basic,Corporate,Four-Door Car,Small,70.0,34.0,1186.6100000000001,2796.87
AS77287,California,Associate,Disabled,Male,25452.0,Suburban,Single,Agent,Basic,Personal,Sports Car,Midsize,107.0,20.0,1954.69,8099.57
AS78838,California,Bachelor,Medical Leave,Male,29735.0,Suburban,Single,Agent,Basic,Personal,Four-Door Car,Midsize,69.0,3.0,1331.2,2453.57
AS93181,Arizona,Bachelor,Disabled,Female,14985.0,Suburban,Married,Call Center,Basic,Personal,Sports Car,Midsize,116.0,12.0,1571.3200000000002,4506.58
AS97690,Arizona,Associate,Employed,Male,54483.0,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Midsize,61.0,6.0,1292.8,2411.26
AT13963,Washington,Master,Employed,Female,43946.0,Urban,Divorced,Call Center,Extended,Corporate,Sports Car,Midsize,133.0,13.0,1415.99,15865.17
AT18041,California,High School,Employed,Female,63471.0,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Large,67.0,0.0,1387.72,2682.7
AT24793,Oregon,Associate,Employed,Male,25352.0,Suburban,Married,Call Center,Premium,Special,Sports Car,Midsize,173.0,10.0,1830.4,6863.12
AT26484,Nevada,Associate,Employed,Male,25221.0,Suburban,Married,Web,Premium,Special,Four-Door Car,Small,103.0,10.0,1616.01,3818.47
AT29024,California,High School,Employed,Female,27005.0,Suburban,Married,Agent,Basic,Corporate,Four-Door Car,Small,61.0,10.0,1311.84,4892.63
AT30076,Nevada,High School,Employed,Female,31727.0,Suburban,Single,Agent,Extended,Personal,Four-Door Car,Small,92.0,1.0,1495.75,3536.65
AT31367,California,Associate,Retired,Female,18577.0,Suburban,Divorced,Branch,Extended,Corporate,Four-Door Car,Midsize,86.0,21.0,1412.8,6273.91
AT33529,California,Doctoral,Employed,Female,30893.0,Rural,Divorced,Branch,Basic,Corporate,Four-Door Car,Midsize,70.0,25.0,1085.42,2776.75
AT41276,California,Bachelor,Employed,Male,36554.0,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Small,70.0,6.0,1433.3899999999999,8110.54
AT49447,California,Bachelor,Employed,Male,99359.0,Rural,Married,Call Center,Extended,Personal,Two-Door Car,Midsize,95.0,16.0,1233.27,7591.83
AT55072,Arizona,Associate,Employed,Male,65733.0,Suburban,Married,Agent,Premium,Personal,Four-Door Car,Midsize,113.0,13.0,1684.95,9103.9
AT79008,California,Bachelor,Employed,Female,40006.0,Rural,Divorced,Branch,Premium,Personal,Two-Door Car,Midsize,114.0,34.0,1132.57,9065.26
AT84725,Washington,Associate,Retired,Male,28215.0,Suburban,Single,Agent,Basic,Personal,Two-Door Car,Midsize,65.0,15.0,1468.0,4650.06
AT86990,Arizona,Bachelor,Employed,Female,28738.0,Rural,Divorced,Agent,Basic,Personal,Two-Door Car,Midsize,62.0,2.0,1081.61,2487.26
AT89553,California,Associate,Retired,Male,23091.0,Suburban,Married,Agent,Extended,Personal,Four-Door Car,Midsize,96.0,28.0,1460.8,5926.73
AT93647,California,Associate,Employed,Female,60252.0,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,65.0,10.0,1182.44,2605.57
AU11344,Oregon,Bachelor,Employed,Female,35666.0,Rural,Divorced,Call Center,Extended,Personal,SUV,Small,131.0,12.0,1312.1100000000001,5142.39
AU13233,California,High School,Employed,Female,71401.0,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,73.0,15.0,1287.33,5908.75
AU23837,Oregon,Bachelor,Employed,Female,64014.0,Urban,Single,Agent,Basic,Corporate,Four-Door Car,Large,63.0,26.0,1295.87,5010.38
AU45793,Arizona,Doctoral,Employed,Male,30817.0,Rural,Divorced,Branch,Extended,Corporate,Four-Door Car,Midsize,88.0,25.0,1091.83,3436.13
AU62013,California,Doctoral,Employed,Female,67572.0,Urban,Married,Branch,Basic,Personal,Sports Car,Small,102.0,7.0,1296.21,24826.89
AU71562,Washington,High School,Employed,Female,27179.0,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,74.0,32.0,1355.2,2936.73
AU75025,Oregon,Associate,Employed,Male,58089.0,Suburban,Married,Agent,Basic,Personal,SUV,Midsize,118.0,31.0,1566.4,4686.47
AU77281,Oregon,Associate,Employed,Female,63860.0,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,62.0,26.0,1208.6,2472.47
AU91447,Oregon,Doctoral,Employed,Male,40870.0,Suburban,Married,Agent,Basic,Special,SUV,Large,105.0,3.0,1504.0,12731.95
AU94279,California,High School,Employed,Male,24976.0,Suburban,Single,Agent,Basic,Personal,Two-Door Car,Midsize,72.0,2.0,1566.2,5493.02
AU98438,Arizona,Bachelor,Employed,Female,94812.0,Rural,Married,Branch,Basic,Personal,Four-Door Car,Midsize,70.0,11.0,1121.03,2833.98
AV17528,Nevada,High School,Employed,Female,42600.0,Suburban,Married,Branch,Basic,Personal,Sports Car,Midsize,115.0,10.0,1660.1399999999999,9233.19
AV49798,Arizona,Associate,Employed,Male,94263.0,Rural,Married,Branch,Extended,Personal,Four-Door Car,Midsize,98.0,33.0,1112.42,7842.87
AV72430,Oregon,Master,Employed,Male,75526.0,Suburban,Married,Branch,Premium,Personal,Four-Door Car,Small,103.0,26.0,1494.4,16531.7
AV76907,Oregon,Associate,Employed,Female,40864.0,Rural,Married,Agent,Basic,Personal,SUV,Midsize,109.0,16.0,1166.94,4282.95
AV93209,California,High School,Employed,Female,31283.0,Suburban,Married,Agent,Premium,Personal,Four-Door Car,Midsize,104.0,18.0,1499.2,12487.58
